source_id, ra, dec
H21774 187.813613 12.169355
H70539 187.617129 12.679136
SC313 187.558167 12.559381
S248 187.779592 12.404047
SC464 187.206258 12.917242
S965 187.696390 12.323050
S1344 187.657971 12.391020
S1124 187.679040 12.449000
H47652 187.682246 12.418375
SC404 187.670504 12.173631
R8376 187.379630 12.835700
H55061 187.601838 12.490867
R13188 187.239320 12.951840
S290 187.775075 12.340247
S1695 187.595020 12.458160
H55453 187.492463 12.494975
SC126 186.972171 12.515403
SC1 187.621279 12.465386
SC93 186.876592 12.301519
SC102 187.521617 12.311742
UCD10 186.406174 12.831850
UCD13 186.460464 12.826378
GC003 185.950409 13.076539
GC002 185.945038 12.503950
UCD11 186.409561 12.911445
UCD17 186.651779 12.920244
GC012 186.080841 12.457203
GC046 186.257523 12.614511
GC145 186.862808 13.216528
GC009 186.040878 13.306408
GC001 185.872772 13.161441
M87UCD-17 187.896379 12.583144
H63111 187.817346 12.577884
T15852 188.171560 12.378940
T15859 188.219200 12.373410
SC98 188.490733 12.336715
SC83 188.583433 12.347574
SC264 187.933746 12.506900
M87UCD-27 188.105692 12.332456
H65739 187.973071 12.608878
SC54 187.775846 12.610422
H68088 187.862763 12.636370
SC273 187.935892 12.743566
H58378 187.988692 12.525111
H68793 187.857558 12.657969
SC223 188.261633 12.270869
SC201 188.207304 12.255934
SC91 188.239704 12.219800
SC287 188.651575 12.232081
SC112 188.366533 12.253647
SC94 188.282975 12.377161
H61034 187.989621 12.553761
SC203 188.284363 12.233922
H71982 187.840992 12.697772
H77389 187.958979 12.768951
H34328 188.138767 12.303531
SC137 187.974413 12.764639
SC194 188.034238 12.752389
F16 188.372800 12.171519
H77509 188.021192 12.770361
SC265 188.408258 12.151061
SC318 188.367867 12.150722
SC113 188.133833 12.883034
H69681 188.120942 12.667964
SC136 188.493679 12.139414
SC19 188.349196 12.112159
SC462 188.390121 12.278079
T15917 188.181560 12.325510
SC76 187.884421 12.528242
VUCD5 187.799500 12.683640
SC182 188.589533 12.211579
H38554 188.158421 12.342995
H75825 187.919783 12.748314
